city,date,count,age,source
Скопје,2020-03-20,1,50-59,https://www.novamakedonija.com.mk/featured/%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D0%BE%D1%82-%D1%82%D0%B5%D1%81%D1%82-%D0%B7%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81-%D0%BD%D0%B0-%D0%BF%D1%80%D0%B2%D0%BE%D0%B7%D0%B0/
Дебар,2020-03-25,2,,https://www.facebook.com/filipce.venko/posts/2346852965621723
Дебар,2020-03-29,8,,https://www.slobodenpecat.mk/novi-26-sluchai-na-koronavirus-vo-makedonija-vkupnata-brojka-na-zarazeni-paczienti-e-285-licza-edno-licze-pochina-i-9-se-izlekuvani/
Скопје,2020-03-29,1,,https://www.slobodenpecat.mk/novi-26-sluchai-na-koronavirus-vo-makedonija-vkupnata-brojka-na-zarazeni-paczienti-e-285-licza-edno-licze-pochina-i-9-se-izlekuvani/
Скопје,2020-03-31,5,,https://www.facebook.com/1819203381720020/posts/2352136388426714/
Скопје,2020-04-02,3,,https://www.slobodenpecat.mk/dve-licza-pochinaa-novi-46-zarazeni-od-koronavirus-vo-zemjava/
Скопје,2020-04-04,1,,
Дебар,2020-04-04,1,,
Кавадарци,2020-04-04,1,,
Скопје,2020-04-05,4,,
Дебар,2020-04-05,3,,
Скопје,2020-04-07,5,,
Штип,2020-04-07,2,,https://www.facebook.com/215658488491348/posts/3023272367729932/
Тетово,2020-04-09,2,,https://www.facebook.com/215658488491348/posts/3027610507296118/
Куманово,2020-04-09,1,,https://www.facebook.com/215658488491348/posts/3027610507296118/
Скопје,2020-04-09,1,,https://www.facebook.com/215658488491348/posts/3027610507296118/
Штип,2020-04-12,3,,https://www.facebook.com/215658488491348/posts/3035072539883248/
Скопје,2020-04-13,30,,https://www.facebook.com/215658488491348/posts/3037601069630395/
Дебар,2020-04-13,12,,https://www.facebook.com/215658488491348/posts/3037601069630395/
Скопје,2020-04-14,12,,https://www.facebook.com/215658488491348/posts/3040250616032107/
Скопје,2020-04-15,23,,https://www.facebook.com/215658488491348/posts/3042976419092860/
Скопје,2020-04-16,14,,https://www.facebook.com/215658488491348/posts/3045460648844437/
Дебар,2020-04-16,2,,https://www.facebook.com/215658488491348/posts/3045460648844437/
Кочани,2020-04-16,1,,https://www.facebook.com/215658488491348/posts/3045460648844437/
Скопје,2010-04-17,25,,https://www.facebook.com/215658488491348/posts/3048072575249911/
Скопје,2020-04-18,15,,https://www.libertas.mk/2-smrtni-sluchai-15-izlekuvani-i-37-novi-sluchai-na-kovid-19-vkupno-1207-di%d1%98agnosticzirani-paczienti/
Скопје,2020-04-19,16,,https://www.facebook.com/215658488491348/posts/3052897031434132/
Куманово,2020-04-19,3,,https://www.facebook.com/215658488491348/posts/3052897031434132/
Штип,2020-04-19,2,,https://www.facebook.com/215658488491348/posts/3052897031434132/
Скопје,2020-04-20,4,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Дебар,2020-04-20,4,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Струмица,2020-04-20,1,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Куманово,2020-04-20,1,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Штип,2020-04-20,3,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Прилеп,2020-04-20,3,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Кочани,2020-04-20,5,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Тетово,2020-04-20,3,,https://www.facebook.com/215658488491348/posts/3055374694519699/
Куманово,2020-04-21,1,,http://zdravstvo.gov.mk/ozdraveni-se-48-pacienti-potvrdeni-28-novi-sluchai-na-kovid-19-vkupnata-brojka-na-dijagnosticirani-e-1259-pochina-1-lice/
Битола,2020-04-21,1,,http://zdravstvo.gov.mk/ozdraveni-se-48-pacienti-potvrdeni-28-novi-sluchai-na-kovid-19-vkupnata-brojka-na-dijagnosticirani-e-1259-pochina-1-lice/
Скопје,2020-04-21,19,,http://zdravstvo.gov.mk/ozdraveni-se-48-pacienti-potvrdeni-28-novi-sluchai-na-kovid-19-vkupnata-brojka-na-dijagnosticirani-e-1259-pochina-1-lice/
Струга,2020-04-21,4,,
Кочани,2020-04-21,1,,
,2020-04-21,1,,
Тетово,2020-04-21,16,,http://zdravstvo.gov.mk/ozdraveni-se-48-pacienti-potvrdeni-28-novi-sluchai-na-kovid-19-vkupnata-brojka-na-dijagnosticirani-e-1259-pochina-1-lice/
Штип,2020-04-21,1,,http://zdravstvo.gov.mk/ozdraveni-se-48-pacienti-potvrdeni-28-novi-sluchai-na-kovid-19-vkupnata-brojka-na-dijagnosticirani-e-1259-pochina-1-lice/
Радовиш,2020-04-21,4,,http://zdravstvo.gov.mk/ozdraveni-se-48-pacienti-potvrdeni-28-novi-sluchai-na-kovid-19-vkupnata-brojka-na-dijagnosticirani-e-1259-pochina-1-lice/
